periode,Wages
1,7.75
2,7.74
3,7.87
4,7.89
5,7.94
6,8
7,8.17
8,8.1
9,8.13
10,8.19
11,8.22
12,8.25
13,8.31
14,8.26
15,8.33
16,8.31
17,8.36
18,8.42
19,8.46
20,8.5
21,8.47
22,8.48
23,8.49
24,8.49
25,8.53
26,8.44
27,8.52
28,8.54
29,8.61
30,8.67
31,8.72
32,8.7
33,8.73
34,8.75
35,8.76
36,8.77
37,8.83
38,8.78
39,8.85
40,8.87
41,8.93
42,9
43,9.07
44,9.07
45,9.09
46,9.13
47,9.13
48,9.13
49,9.19
50,9.12
51,9.16
52,9.17
53,9.23
54,9.31
55,9.31
56,9.33
57,9.33
58,9.33
59,9.34
60,9.32
61,9.35
62,9.27
63,9.31
64,9.32
65,9.37
66,9.42
67,9.44
68,9.44
69,9.44
70,9.48
71,9.45
72,9.44
